loss,id
1539.83837891,4
1732.81799316,6
9345.4765625,9
5110.71679688,12
926.319030762,15
2654.88134766,17
1601.65197754,21
1037.73486328,28
2079.83178711,32
2748.3605957,43
2515.34545898,46
1229.35681152,50
1451.27404785,54
1676.73291016,62
2010.96398926,70
5934.62158203,71
2533.47827148,75
2302.0222168,77
2894.78857422,81
2497.19091797,83
1874.57299805,87
1448.89892578,97
1608.36535645,103
1112.03662109,119
1416.86804199,120
1292.27905273,127
4665.40234375,138
2414.05908203,141
1170.96411133,148
2109.60961914,150
1823.12524414,151
1785.23046875,158
7698.91308594,160
2549.2890625,165
3393.35620117,168
2276.02001953,169
1987.18591309,177
3417.22558594,178
1668.53942871,184
10636.1884766,194
1262.91784668,198
4577.77099609,203
2641.47607422,211
1138.64233398,217
1203.72631836,219
2614.76977539,221
1964.8840332,227
1183.97595215,230
1751.45080566,235
1001.0043335,240
2799.0559082,243
4973.99755859,249
2274.97192383,253
1294.03955078,258
1877.70141602,261
3559.02294922,263
4971.56445312,264
5173.66845703,265
1770.56921387,268
1311.0,271
4348.9609375,274
767.493713379,275
1712.92004395,279
1568.35986328,282
2373.47290039,286
1365.46679688,288
3796.27099609,294
1077.43908691,296
1432.9921875,297
742.04107666,300
8235.39160156,303
1536.36706543,314
3479.35766602,315
2185.90551758,321
3781.55737305,323
4727.94335938,330
1483.22680664,341
3503.6081543,342
1751.45410156,352
2835.72851562,353
6869.31591797,360
1854.54284668,361
2700.58886719,362
960.73046875,366
3015.06420898,372
3398.609375,376
3055.19604492,377
1183.63439941,379
2522.82397461,380
1767.6048584,387
1827.35327148,392
7061.82080078,394
1509.20288086,395
1264.22351074,397
4072.24121094,407
4207.03320312,411
2934.08911133,416
2101.95239258,417
3861.74682617,419
3649.52929688,428
1726.12573242,431
5836.20996094,436
1170.75866699,438
5910.15478516,445
4742.484375,446
1566.55639648,455
1128.49621582,456
869.392028809,461
1666.34265137,463
2912.3359375,464
1906.02355957,466
1838.8861084,467
1296.30786133,470
1515.50500488,475
3387.19067383,482
